category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee,first_cleaned_welfare,first_cleaned_works,scaler_money
PHP 개발자,https://www.wanted.co.kr/wd/70589,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F8303%2Fpnoxpzfnpkjzojbf__1080_790.jpg&w=1000&q=75,웹 개발,만나플래닛,"• 자사 서비스 웹, 모바일 개발
• 관리자 페이지 개발","• 3년이상 웹 개발 경험을 가지신 분
• 팀원들과 원할한 커뮤니케이션이 가능하신 분
• 스스로 할 일을 정하고 문제를 해결할 수 있으신 분","• PHP 개발 경험자
• RESTful API 연동 개발경험자
• jQuery, Ajax, JSON, JSONP, XML 사용에 익숙하신 분
• Git, redmine 등의 협업 도구 사용에 익숙하신 분
• 최신 기술 트렌드 적용 및 공유에 관심이 많으신 분
• 코드 리뷰에 적극 참여하시는 분
• 테스트 및 배포 자동화 경험이 있으신 분","• 수평적인 사내문화와 자유로운 분위기
• 자율 복장, 유연근무제
• 경조사휴가 제공 및 자유로운 사용 보장, 건강검진, 조식제공
• 도서구입비 지원, 컨퍼런스 참가비 지원","Git
Android
Oracle
React
HTML
JavaScript
Kotlin
PHP","서울시 구로구 경인로661, 101동 15층",3932,132,수평 자유롭다 분위기 자율 복장 유연근무제 경조사 휴가 자유롭다 건강검진 조식 도서 구입 컨퍼런스 참가,자사 모바일 관리자 페이지,0.5627594103334764
PHP 개발자,https://www.wanted.co.kr/wd/121138,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F29262%2Fboihdz70kajdtvlt__1080_790.jpg&w=1000&q=75,API 개발,더비즈,"▪ 웹서비스 간 REST API를 통한 시스템 연동
▪ Front/Backend 개발","▪ PHP 개발 3년 이상
▪ RESTful API 개발 경험자
▪ laravel, Node.js 경험자
▪ Mysql 중급이상","▪ 대용량 데이터 서비스 유경험자
▪ 대용량 트래픽 처리 개발 및 운영 유경험자
▪ Git 이용한 개발 및 배포 경험
▪ 부동산서비스 개발 경험자","• 주5일(월~금)
• 선택적 복지포인트 지원(연간 120~200만원)
• 사내 카페테리아(행복 라운지)운영(간식, 음료, 커피 등 무제한 제공)
• 건강검진 지원(배우자 포함)
• 생일자 선물 지원(선물&휴가)
• SK그룹 패밀리카드 발급 및 연회비 지원
• 통신비 지원
• 임직원 단체상해보험 지원(질병&상해)
• 경조사 지원(경조비&경조용품)","MySQL
Node.js
PHP
TypeScript
Laravel
PHPUnit",서울특별시 서초구 방배로107 방배동 디엠타워3관 (주)더비즈,4240,61,SK 복지 포인트 연간 카페테리아 행복 라운지 간식 음료 커피 무제한 건강검진 배우자 생일 선물 선물 휴가 패밀리 카드 발급 회비 통신비 상해 보험 질병 상해 경조사 조비 용품,REST API Front Backend 웹서비스 시스템 연동,0.6068412766566481
PHP 개발자,https://www.wanted.co.kr/wd/80914,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F6735%2Fjijsxi6hygbqgdgw__1080_790.jpg&w=1000&q=75,[3년 이상] PHP개발자,리로소프트,"• 자사솔루션 '리로스쿨' 기능개선 및 운영
• 리로소프트 신규 서비스 개발 및 운영","• PHP 실무 경력 3년 이상
• avascript/jquery/ajax 경험
• Maria DB/Linux 경험","• 대용량 트래픽, 분산처리
• 실시간 서비스 경험
• Restful API 개발경험
• 팀 단위 Git 협업 경험
• Jira/Confluence 경험
• 커뮤티케이션 원활한 분","• 고급 장비 지원 (노트북/34인치 와이드 모니터 / 듀얼모니터)
• 눈치 보지 않고 쓰는 연차 (사유 기재 금지)
• 업무 스트레스가 쌓일 땐 별도의 휴게공간에서 힐링
• 자기계발비 지원 (교육, 도서, 자격증, 세미나 등)
• 직무교육 진행
• 리로쇼핑데이 (S/S, F/W 연 2회 의류비 지원)
• 사무실 내 '스타일러' 구비
• 장기근속자 포상 (3/5/10년 포상금 & 포상휴가)
• 팀 회식비 지원 (강요 금지, 점심 회식 독려)
• 리로플레이 데이 (문화, 여가 활동 지원)
• 생일 파티 및 상품권 지급
• 명절 상여금 지급
• 경조사 지원
• 청년내일채움 공제 지원
• 근로자 휴가 지원 사업 지원","Git
Android
Firebase
Xcode
Android Studio","구로구 디지털로273,310호(구로동,에이스트윈타워2차)",0,없음,고급 장비 노트북 인치 와이드 모니터 듀얼모니터 눈치 연차 사유 기재 금지 스트레스 쌓이다 별도 휴게 공간 힐링 자기계발 교육 도서 자격증 세미나 직무 교육 쇼핑 데이 의류 스타 구비 장기 근속 포상 상금 포상 휴가 회식비 강요 금지 점심 회식 독려 플레이 데이 여가 생일 파티 상품권 명절 상여금 경조사 청년 내일 채우다 공제 근로자 휴가,자사 솔루션 로스쿨 개선 소프트 신규,0.0
PHP 개발자,https://www.wanted.co.kr/wd/118019,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F20511%2Fzkmgzl0ye0kvbzdw__1080_790.jpg&w=1000&q=75,"웹개발자(PHP,JAVA)",티에이치케이컴퍼니,"-Web front/backend 개발
-Web platform 개발

*전형절차: 서류검토-면접-처우협의-최종합격","HTML, CSS, Javascript, PHP, Javascript Framework/Library 구현 경험
Spring Framework 이해 / AWS 이해 및 구축, JAVA sevlet 구현
Linux 환경 / Xampp / VSCODE / Intellij 환경 이해 및 경험
Apache / Tomcat 서버 구축 및 운용
Nginx 구축 및 운용","• 이커머스 플랫폼 웹 개발 경력을 보유하신 분
• 유관 부서와 커뮤니케이션 하는데 어려움이 없는 분","• 조식제공(토스터기/빵 구비)/중식제공/사내 스낵바와 커피머신 구비
-기타 컵라면, 즉석밥, 스팸 등 
• 생일시 상품권 지급
•도서구입비, 자기계발비, 사이버 임직원 직무능력 향상 교육 지원
•안마의자(바디프렌드)
•직원 별도 휴게공간 마련
•청년내일채움공제 가입 가능
•경조사 지원
•연차 외 3일 여름휴가(리프레쉬)
•명절 선물 및 상여 자굽
•자유복장
•듀얼모니터/무선키보드 및 마우스
•쾌적한 근무환경(194평 규모, 최근 리모델링하여 입주)
•상기 조건 외 비정기적인 이벤트로 주어지는 복지들도 있습니다. (창립8주년 기념 배민 상품권 8만원, 5월 가정의 달 맞이 전직원 20만원 기프트카드 등)","Java
JavaScript
PHP
AWS
Apache
Tomcat",서울특별시 금천구 서부샛길 606 대성디폴리스 B동 1401호,3922,48,조식 토스터 구비 중식 스낵바 커피 머신 구비 컵라면 즉석밥 스팸 생일 상품권 도서 구입 자기계발 사이버 직무 능력 향상 교육 안마 의자 바디 프렌드 별도 휴게 공간 마련 청년 내일 채우다 공제 가입 경조사 연차 여름 휴가 리프 레쉬 명절 선물 상여 자굽 자유 복장 듀얼모니터 무선 보드 마우스 쾌적하다 규모 모델링 상기 조건 비정 기적 이벤트 주어지다 복지 창립 주년 기념 배민 상품권 가정 맞이 기프트카드,Web front backend Web platform 검토 처우,0.5613281809073994
PHP 개발자,https://www.wanted.co.kr/wd/95171,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F28569%2Fq963a2lplsozbybb__1080_790.jpeg&w=1000&q=75,백엔드(Back-end) 개발자,찌읏(zzieut),"- PHP 또는 Java Spring 을 기반으로 메인 서비스의 Back-end 개발
- 독자적인 커머스 솔루션에 사용될 Back Office Server 개발
- Database의 설계, 구축, 운영
- 각종 웹/앱 서비스 개발 참여","- 학력: 무관
- 전공: 무관
- 경력 : 2~3년 이상 또는 이에 준하는 역량

[필수 경험 및 역량]
- RESTful 하다를 명확하게 이해하며, 그에 맞춘 개발 경험이 있으신 분
- RDB 설계 경험이 있으신 분(MySQL/ Aurora)
- DevOps 경험을 보유하신 분
- Git 혹은 다른 코드 형상 관리 시스템을 사용해 본 경험이 있는 분
- Linux 서버 기반 개발 경험
- Modern PHP Programming 경험이 있으며, Laravel framework에 거부감이 없는 분
- 컴퓨터 공학/ 과학, 전산학등 관련 전공에 대한 탄탄한 지식을 겸비하신 분","- 스타트업 경험이 있으신 분
- 클라우드 서비스(AWS, GCP, Azure) 경험을 보유하신 분
- 상용화 수준의 대용량 트래픽 백엔드 시스템 경험을 보유하신 분
- 리눅스 서버 관리 및 운영 경험을 보유하신 분
- Vue / Laravel 프레임워크 경험자
- CI/CD에 익숙하고, Docker를 사용해 본 개발자
- MSA의 이해와 설계 및 운영 경험","• 월요병 예방 11시 출근, 불금에는 6시 퇴근!
• 연차/반차 눈치보지 말고 자유롭게 사용 가능
• 여름 3일/겨울 2일 휴가 제공/연차와 별도 제공
• 수평적인 호칭 체계(님 호칭) 및 자율 복장
• 팀 커뮤니케이션 활성화를 위해 티-타임, 음주가무를 위한 별도 시간 및 금액 지원
• 밥은 회사가 쏜다! (점심, 저녁 100% 지원)
• 편의점 부럽지 않은 간식들과 음료수가 가득!
• 회사 성장에 상응하는 인센티브 및 스톡옵션 제공
• 업무와 개인의 성장을 위한 교육 및 도서지원
• 티끌모아 태산, 내일채움공제 가입가능
• 함께 출근하는 반려견이 있어요. (탱이/남/미니비숑/2살)","Git
Github
Linux
React
VueJS
PHP
SQL
AWS
SASS
Laravel
Flutter","서울시 마포구 서교동 458-2, 3층",3806,19,월요병 예방 불금 연차 눈치 자유롭다 여름 겨울 휴가 연차 별도 수평 호칭 체계 호칭 자율 복장 커뮤니케이션 활성화 타임 음주 가무 별도 금액 쏜다 점심 저녁 편의점 부럽다 간식 음료수 가득 성장 상응 스톡옵션 개인 성장 교육 도서 티끌 모으다 태산 내일 채우다 공제 가입 반려견 미니 비숑,PHP Java Spring Back end Back Office Server Database 메인 독자 커머스 솔루션 설계 구축,0.5447259195649062
PHP 개발자,https://www.wanted.co.kr/wd/116263,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F8935%2Fcfqz8otycekjfye6__1080_790.jpg&w=1000&q=75,주니어 백엔드 엔지니어,피프틴에이치,"- 고객사 웹 서비스 사용자단 & 관리자단 : 백엔드 (API) 신규 개발
- 고객사 웹 서비스 사용자단 & 관리자단 : 백엔드 (API) 유지보수 및 운영환경 고도화 개발
- 고객사 서버 인프라 설계 및 관리","- 전문학사 이상 기졸업자 또는 졸업예정자
- 개발 경력 2년 이상
- MVC 에 대한 이해가 깊으신 분
- Laravel 로 서비스 백엔드 / API를 구축해보신 경험이 있으신 분
- Restful 에 대한 깊은 이해가 있으신분
- RDBMS (MySQL/MariaDB) 데이터베이스 설계 및 관리 경험이 있으신 분
- 외부 API 연동 경험이 있으신 분 (결제 / FCM 등)
- 테스트 및 배포 자동화 환경을 구축해보신 경험이 있으신 분
- Git 등의 버전 관리 시스템을 능숙히 사용하실 수 있으신 분","- Codeigniter 사용 경험이 있으신 분
- Spring / django 등 PHP가 아닌 언어로 구성된 MVC 기반 프레임워크
사용 경험이 있으신 분
- 서비스 성능 / 리소스 최적화 경험이 있으신 분
- 대용량 트래픽 처리 및 운영 경험이 있으신 분","- 유연근무제 / 재택근무 등 근무형태 협의 가능 (시차출퇴근제 운영 기본)
- 교육 / 강의 / 도서 비용 무제한 지원
- 개인적 이슈에 대한 사내 변호사 지원
- 신청 장비 3년 근속시 소유권 이전
- 애견유치원 비용 지원
- 반려동물 출퇴근
- 경조사 지원
- 업무에 도움이 되는것이라면 무엇이든","Git
Android
Java
Kotlin
AWS
API
React Native","성동구 아차산로17길 48, 성수SKV1센터 1동 718-719호",3341,16,유연근무제 재택근무 형태 교육 강의 도서 비용 무제한 개인 이슈 변호사 신청 장비 소유권 이전 애견 유치원 비용 반려동물 경조사 도움,API API 자단 자단 백엔드 신규 자단 자단 백엔드 유지 보수 고도화 서버 인프라 설계,0.47817375125232575
PHP 개발자,https://www.wanted.co.kr/wd/82684,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F25051%2Fkqc8rrtbpdna229h__1080_790.png&w=1000&q=75,[무신사-솔드아웃] 솔드아웃 백엔드 개발자,에스엘디티,• 솔드아웃 APP 서비스 개발 및 운영,"• 개발 경력 3년 이상
• PHP 또는 JAVA를 이용하여 웹서비스를 만들어 보신 분
• MySQL을 이용하여 웹서비스를 만들어 보신 분
• Laravel 프레임웍 또는 Spring 프레임웍에 대한 경험이 있는분
• 클라우드 서비스 사용 경험이 있으신 분
• REST API 개발 또는 운영경험이 있으신 분
• 팀 동료, 타팀의 동료, 타 직군의 동료와의 커뮤니케이션에 능숙하신 분
• 해외여행 결격사유가 없는자","• 대규모의 이커머스 개발 경험이 있으신 분
• 단위 업무를 코드로 기술하기 좋아하는 분
• 언어와 환경에 상관없이 배우고 익히기를 좋아하시는 분
• NoSQL(MongoDB, ElasticSearch)에 대한 경험이 있으신 분
• Machine Learning 또는 Deep Learning 경험이 있거나 관심이 있는 분
• 마이크로서비스 아키텍쳐(MSA) 개발 경험이 있으신 분
• 장애인 및 국가보훈대상자","• 선택적 출퇴근과 자유로운 복장으로 자율성 보장
• 업무에 필요한 장비 최고 사양으로 제공
• 업무 관련 교육, 세미나, 워크숍, 팀빌딩 비용 지원
• 연간 350만원 상당의 복지포인트 제공
• 연간 140만원 상당의 Self-love비, 생일 축하 쿠폰 지원
• 3, 6, 9, 12년 만근 시 여행비와 포상 휴가 제공
• 연차는 1일, 0.5일, 0.25일로 분할 사용 가능
• 자녀 학자금 지원 (초등학교 입학 축하금, 대학교 학기별 등록금)
• 금융 지원 (은행 대출 이자 지원, 사내 대출)
• 매년 본인 건강검진 지원
• 경조사비 지원
• Early Friday 매주 금요일 7시간 근무
• Mental Care 심리상담 서비스 지원
• 당사 스톡옵션 제공 예정",없음,"서울시 성동구 아차산로 9길, 12 솔드아웃",4918,77,Self love Early Friday Mental Care 자유롭다 복장 자율성 장비 최고 사양 교육 세미나 워크숍 빌딩 비용 연간 상당 복지 포인트 연간 상당 생일 축하 쿠폰 여행 포상 휴가 연차 일로 분할 자녀 학자금 초등학교 입학 축하 대학교 학기 등록금 금융 은행 대출 이자 대출 매년 건강검진 사비 매주 금요일 심리상담 당사 스톡옵션 예정,APP 솔드아웃,0.7038786317446687
PHP 개발자,https://www.wanted.co.kr/wd/58224,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F426%2Fkzslm49iecovfi0j__1080_790.jpg&w=1000&q=75,"[마켓컬리] 커머스플랫폼 개발자(PHP, Laravel)",컬리,"• 마켓컬리 도메인 백엔드를 개발합니다.
• 폭발적으로 증가하는 트래픽을 안정적으로 처리하는 시스템을 설계합니다.","• 1년 이상의 Laravel 프레임워크를 이용한 개발 경험
• Modern PHP 개발 지식 및 경험
• 2년 이상의 PHP 기반 애플리케이션 개발 경험
• 자신이 담당했었던 업무 도메인을 잘 이해하고 넓게 파악
• 서비스 지향 사고와 유연한 커뮤니케이션 역량
• e-Commerce 도메인에 대한 깊은 이해 및 관심
• 끊임없이 학습하고 동료에게 아낌없이 공유하는 자세와 열정","• 자신이 선호하는 기술이나 도구에 푹 빠져있는 분
• 성장하고자 하는 의지와 욕구가 강력한 분
• 페어 프로그래밍, 코드 리뷰, 테스트 코드 작성에 적극적인 분
• 오픈소스 또는 개발 커뮤니티 활동 경험이 있으신 분
• 비동기 분산 환경을 고려한 MSA 설계/개발 경험이 있으신 분
• Composer에 대한 이해도가 있거나 관심이 많으신 분

★ 기술 블로그 운영을 하시거나 github repository 관리하고 계시는 경우, 
    이력서에 링크를 첨부해주세요.","✔모두가 집중하고 성장할 수 있도록, 최적의 근무 환경을 제공해요✔

• 리프레시도 필요하죠, 매월 유급 반차(0.5일) 퍼플데이 제공
• 업무 효율을 위해서, 시차 출퇴근제 운영 (8시~11시 출근)
• 장기근속에 대한 유급휴가 및 휴가비 지원제도 운영
• 컬리인의 성장을 최우선으로 생각해요, 도서구입비 및 각종교육 지원

✔건강하고 활력 넘치는 직장생활을 위해 컬리가 지원해요✔

• 여러분이 가장 소중한 고객이니까, 마켓컬리 적립금 지급
• 건강한 신체만큼 중요한 건 없죠, 의료비 지원
• 허리 건강을 위한 모션 데스크 기본 지원
• 함께하며 더욱 친해져요, 커피챗 비용 지원
• 삶과 업무에 지쳐 멘탈 케어가 필요하다면, 프라이빗 심리 상담 지원

기타
 • 고용형태 : 정규직(수습 3개월) 
 • 근무지 : 서울특별시 강남구 테헤란로 133 한국타이어앤테크놀로지사옥
 • 합류과정: 입사지원 ＞ 서류전형 ＞ 코딩테스트/과제전형 ＞ 직무적합성 인터뷰 ＞ 조직적합성 인터뷰 ＞ 최종합격","Git
Hadoop
Spark
Python
AWS",서울특별시 강남구 테헤란로 133,0,없음,집중 성장하다 최적 리프 레시 매월 유급 퍼플 데이 효율 장기 근속 유급 휴가 휴가 컬리 성장 도서 구입 교육 건강하다 넘치다 직장 생활 컬리 소중하다 마켓 컬리 적립금 건강하다 신체 중요하다 의료 허리 건강 모션 데스크 더욱 친해지다 커피 비용 지치다 멘탈 케어 프라이 심리 상담 고용 형태 수습 서울특별시 강남구 테헤란로 한국 타이어 테크놀로지 과정 테스트 과제 직무 합성 합성,마켓 컬리 도메인 백엔드 폭발 증가 트래픽 안정 시스템 설계,0.0
PHP 개발자,https://www.wanted.co.kr/wd/73431,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F16681%2Fjmtvyxwz3mjwqkcg__1080_790.jpg&w=1000&q=75,Back-end,어디,"• AWS 클라우드 기반 개발 서비스 운영
 • DB 설계 및 구축
 • 자사 서비스 Web/App용 API 개발 (장기적으로 모든 서비스를 RESTful API로 구축)
 • 블록체인 코인 및 토큰 미들웨어 작업","• 최소 1년 이상의 Back-end 개발 경험이 있으신분 또는 그에 준하는 실력
 • 1개 이상의 언어와 웹 어플리케이션 구축을 위한 프레임워크 사용에 익숙 하신 분
 • 비지니스 로직, DB 테이블 모델링 및 RESTful API 설계 경험이 있으신 분
 • 형상관리(git)를 이용한 협업 및 업무능력을 보유 하신 분

'어디'는 이런 분을 찾고 있습니다. 

• 별다른 커뮤니케이션 교육이 없어도 직장 생활에 문제가 없는 분
• 하기로 한 일은 끝까지 해내고자 하는 분
• 질문 받기를 좋아하고, 질문하기를 두려워하지 않는 분
• 호기심이 많아 다른 사람을 곧 잘 귀찮게 하시는 분","• PHP 또는 Node.js 등의 언어로 개발이 익숙 하신 분
 • 직관적이고 실용적인 API 설계 능력을 갖추신 분
 • AWS, GCP 등의 클라우드 환경 사용 경험 및 클라우드 기반 웹 서비스에 대한 이해가 있으신 분
 • 관계형(SQL) 또는 비관계형(NoSQL) 언어에 익숙 하신 분
 • 서비스 refactoring, 코드 개선 작업에 긍정적인 자세를 가지신 분","• 유연근무제 (08:00~10:00 사이 자유로운 출근)
• 자유로운 연차, 반차 사용
• 쾌적한 공유 오피스
• 야근 시 교통비 지원
• 야근 수당 제공
• 청년내일채움공제, 청년소득세 감면 지원
• 회식 없음","Git
Ethereum
Linux
Node.js
Blockchain
네트워크 관리",부산광역시 해운대구 센텀중앙로48,3211,14,유연근무제 자유롭다 자유롭다 연차 쾌적하다 공유 오피스 야근 교통비 야근 수당 청년 내일 채우다 공제 청년 소득세 감다 회식,AWS DB Web App API RESTful API 클라우드 설계 구축 자사 장기 구축 블록 체인 코인 토큰 미들웨어 작업,0.4595677687133247
PHP 개발자,https://www.wanted.co.kr/wd/107056,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F10188%2Fdr6iknm33l9m0du8__1080_790.jpg&w=1000&q=75,"백엔드(PHP, 라라벨) 개발자 (병특 가능)",콘샐러드,"• Laravel 웹 CMS의 데이터 관리 로직 개발
• 기존 CMS 기능의 유지보수",• PHP/Laravel 2년 이상 경력 혹은 그에 준하는 실력을 가지신 분,"• jQuery 지식이 있는 분
• 음악/엔터/스타트업 업무 경험이 있으신 분
• 커뮤니케이션이 원활한 분","• 10시 ~ 18시 근무
• 점심 식사 제공
• 안마의자, 스낵바 제공
• 노래방 제공","Git
PHP
jQuery
Laravel
MSSQL",서울특별시 송파구 송파대로,3950,16,점심 식사 안마 의자 스낵바 노래방,Laravel CMS CMS 데이터 로직 기존 유지 보수,0.5653356233004151
