category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee,first_cleaned_welfare,first_cleaned_works,scaler_money
Node.js 개발자,https://www.wanted.co.kr/wd/115818,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F10085%2Foilrz8hdlaggl48u__1080_790.jpg&w=1000&q=75,백엔드 개발자 (Backend Developer),어퍼코리아,"기존 완성된 서비스 유지/관리
대규모 트래픽 관리
필수 테스트 코드 작성
개발팀 인프라 구성 참여
글로벌 서비스 신규 사업 참여
신사업 프로젝트 참여
연계 모듈 프로젝트 참여
코드리뷰 인프라 구성","[담당업무]
nodejs & rethinkDB 로직 설계
기존 완성된 ERP 플랫폼 습득
이슈 할당 및 처리
대규모 트래픽 서비스에 대해 연구
새로운 기술 및 복지에 대해 연구
새로운 이슈에 대한토론 & 해결

[사용중인 기술]
React, React Native, next.js, Node.js, GraphQL(Apollo),
MobX, CSS-in-JS(emotion), RethinkDB, Jest, Amazon Web Services,
Docker, Redis, Kubernetes, Rancher, Github Actions, CouchDB(foundationDB),
Cypress, Kafka, ELK, Grafana, Typescript, Prisma, postgresql, recoil","nodejs & rethinkDB 로직 설계
기존 완성된 ERP 플랫폼 습득
이슈 할당 및 처리
대규모 트래픽 서비스에 대해 연구
새로운 기술 및 복지에 대해 연구
새로운 이슈에 대한토론 & 해결","출퇴근 10 to 5
원하는 모델의 300만원 상당의 장비 구입 지원
32"" 4k 모니터 지원
연말, 휴가, 경조사비 지원
중식, 간식, 커피, 음료 등 모든 먹거리 지원
입사 후 기존 프로세스 이해 및 업무 할당이 가능 시점부터 주 1~3회 재택
개발에 필요한 모든 서적과 세미나 교육 지원 (평일 가능, 발표자일 경우 준비 기간 제공)
건강검진비용 지원
자유로운 연차/휴가


- 상세 채용 공고 & 채용 과정
이력서 검토 ＞ 코딩테스트 ＞ CTO 기술면접 (화상) ＞ 임원&팀원 인터뷰 (대면) ＞ 오퍼레터 발송","Github
GraphQL
MySQL
React
Redis
JavaScript
Node.js
AWS
DevOps
Apache
Docker
NodeJS
Nginx","경기도 성남시 분당구 대왕판교로 670, 유스페이스2 A동 404호",3689,7,CTO 모델 상당 장비 구입 모니터 연말 휴가 사비 중식 간식 커피 음료 먹거리 기존 프로세스 이해 할당 시점 재택 서적 세미나 교육 평일 발표 준비 기간 건강검진 비용 자유롭다 연차 휴가 상세 공고 과정 이력서 검토 테스트 화상 임원 대면 오다 레터 발송,기존 완성 유지 대규모 트래픽 필수 테스트 코드 작성 인프라 구성 글로벌 신규 프로젝트 모듈 프로젝트 코드 리뷰 인프라 구성,0.41324073036854486
Node.js 개발자,https://www.wanted.co.kr/wd/116951,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F11142%2F0y3inbi2zze5unqx__1080_790.jpg&w=1000&q=75,IoT 시스템 개발자,모빅랩,"• IoT 시스템 서비스 포탈 개발
• IoT 시스템 브로커 엔진 개발
• IoT 디바이스 플랫폼 개발","• 개발 경력 5년 이상 JavaScript에 대한 전문적인 개발 역량
• Node.js 개발 역량
• Vue.js 개발 역량","• MSA 기반 프로젝트 경험자
• Mqtt broker를 활용하는 시스템 개발 경험자
• 상용 클라우드 서비스 기반 프로젝트 경험자
• Elasticsearch 사용 프로젝트 경험자
• Linux 사용 경험자
• raspberry pi 사용 경험자
• container 시스템 및 관리 플랫폼(k8s) 사용 경험자
• DBA","[근태]
• 자유로운 업무 환경 (복장 자율, 자유로운 연차 사용)
• 맞춤형 출퇴근제 (개인에게 맞는 최적의 출퇴근 시간을 협의하여 고정적으로 운영)
• 생일 연차 제도 (생일 연차 부여/ 생일이 속한 월 중에 자유롭게 연차 1일 사용)

[식대]
• 점심 식대 및 야근시 저녁 식대 지원(1만원 이내/ 사무실 출근시 지원)
• 사내 스낵바 제공 (컵라면, 과자, 아이스크림, 커피, 음료 등)

[자기개발]
• 업무 관련 컨퍼런스, 교육, 도서구입비 지원
• 직무 수행에 필요한 최신 장비, 소프트웨어 제공

[기타]
• 경조 휴가 및 경조금 지원 (생일, 결혼, 출산, 장례 등)
• 명절 상여금 및 선물세트 지급
• 종합 건강검진 지원(2년에 1회, 15만원)
• 정부 정책사업 (청년 내일채움공제, 중소기업 취업자 소득세 감면 등) 적극 지원","Linux
VueJS
JavaScript
ElasticSearch
NodeJS
Raspberry Pi",연수구 컨벤시아대로 204,0,없음,자유롭다 복장 자율 자유롭다 연차 맞춤 개인 최적 고정 생일 연차 생일 연차 생일 자유롭다 연차 식대 점심 식대 야근 저녁 식대 스낵바 컵라면 과자 아이스크림 커피 음료 자기개발 컨퍼런스 교육 도서 구입 직무 최신 장비 소프트웨어 경조 휴가 생일 결혼 출산 장례 명절 상여금 선물 세트 종합 건강검진 정부 정책 청년 내일 채우다 공제 중소기업 취업 소득세 감다,IoT IoT IoT 시스템 포탈 시스템 브로커 엔진 디바이스 플랫폼,0.0
Node.js 개발자,https://www.wanted.co.kr/wd/88505,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F15863%2Fxkshuenmnvrofpa6__1080_790.jpg&w=1000&q=75,Software Engineer (NodeJS Backend),쿼타랩(쿼타북),"# 어떤 팀인가요?

프로덕트 팀은 실질적인 문제 해결을 빠른 속도로 실행하는 팀입니다. 최소 단위로 해결책을 찾아내고, 그 해결책을 고객의 기대에 맞춰 끊임없이 배포를 합니다. 그리고 매번 회고를 통해, 팀을 계속 발전시킬 수 있는 방법이나 문화를 탐구해나갑니다.


# 어떤 역할을 맡게 되나요?

• 프로덕트 팀의 일원이 되어 유저와의 최접점에서 쿼타북 신규 서비스를 제공하고 개발하게 됩니다.
• 쿼타북을 매일 들어오는 서비스로 만들기 위한 첫 스텝으로, 커뮤니티 서비스를 만들고 있습니다. 스타트업과 투자사/보육기관을 연결하는 커뮤니케이션 서비스로, 증권을 넘어 모든 데이터와 커뮤니케이션을 아우를 수 있는 플랫폼이 되고자 합니다.


# 이런 일을 해요

• 신규 커뮤니티 서비스를 개발합니다.
• 서비스 운영, 백오피스 개발

# 사용중인 기술

Language & Framework
• Node.js
• GraphQL, Prisma
• Typescript, React


Build & Deploy
• Github Actions

Infrastructures
• Kubernetes, Docker
• AWS (CloudFront, S3, EKS, ECR, API Gateway / Lambda)","# 이런 분을 찾습니다!

• 2년 이상 Node.js 기반 서비스 운영 및 개발 경험
• TDD 및 테스트 프레임워크 사용 경험
• 비즈니스 요구사항을 이해하고 해결 방법을 찾기 위해 조직 전반에 걸쳐 동료들과 편하게 협력할 수 있는 분
• 팀워크를 중요시하고 팀 단위로 일을 진행하고 결과를 만들어 내는 분
• 새로운 지식을 받아들이고 공유하는 데에 거리낌이 없는 분
• 코드 리뷰를 즐기고 소소한 리팩토링을 사랑하는 분","# 이런 분은 더욱 환영합니다!

• 높은 트래픽 처리와 성능 개선을 위한 서비스 최적화 경험
• AWS 등 클라우드 환경에서의 배포 및 운영 경험
• GraphQL을 이용한 서비스 개발 경험
• React에 대한 이해와 서비스 개발 경험","[혜택 및 복지]
• 최고 수준의 업무용 장비(MacBook Pro 16) 지원
• 자유로운 재택 근무, 유연근무제
• 휴가 무제한
• 정기적인 스톡옵션 성과 보상
• 교육·운동 등 자기계발비 지원
• 도서 구매비 무제한

[쿼타북 조직문화]
• 쿼타북 팀은 장소와 시간에 구애받지 않고 본인이 원하는 장소와 시간에 일합니다. 사무실을 선호하는 분을 위해 삼성역과 여의도에 오피스가 있습니다.
• 2주일 단위로 스프린트를 진행합니다. 스프린트 시작을 위한 회의를 하고 스프린트가 끝날 때 회고를 통하여 발전하고 있습니다.
• 매일 오전 10시에 온라인 스크럼 미팅을 합니다. 스프린트의 진행 상황과 이슈 등을 공유합니다.
• 이슈 관리는 지라(Jira)를 사용하고 효율적인 커뮤니케이션을 위해 슬랙(Slack)을 사용합니다. 문서관리를 위해서 컨플런스와 노션을 사용합니다. 효율적인 업무를 위해선 도구 가리지 않고 비용을 아끼지 않습니다.
• 좋은 코드를 유지하기 위하여 코드 리뷰하고 CI/CD를 활용하여 테스트에서 부터 배포까지 자동화 합니다.
• 자율과 책임이 강하게 자리해 있으며 모두 맡은 일을 책임감 있게 완료하고 좋은 성과를 냅니다.

[전형 절차]
• 서류 심사 → 코딩 테스트 → 실무 면접 → 최종 면접

급 성장 중인 쿼타랩에 올라타세요!","Git
Django
React
Python
SQL
TypeScript
AWS
Docker
PostgreSQL",서울 강남구 테헤란로 503 하이브로빌딩(FastFive),4738,43,MacBook Pro Jira Slack CI CD 혜택 복지 최고 수준 장비 자유롭다 재택 유연근무제 휴가 무제한 정기 스톡옵션 성과 보상 교육 운동 자기계발 도서 구매 무제한 크다 크다 장소 구애 받다 장소 선호 삼성역 여의도 오피스 주일 단위 스프린트 스프린트 시작 회의 스프린트 끝나다 회고 발전 매일 오전 온라인 스크럼 스프린트 상황 이슈 공유 이슈 지라 효율 커뮤니케이션 슬랙 컨플런스 노션 효율 도구 가리다 비용 아끼다 좋다 코드 유지 코드 리뷰 테스트 배포 자동화 자율 책임 강하다 자리 맡다 책임감 완료 좋다 성과 심사 테스트 실무 성장 중인 크다 올라타다,Language Framework Node js GraphQL Prisma React Build Deploy Github Actions Docker AWS EKS ECR API Gateway Lambda 프로 덕트 실질 문제 해결 빠르다 속도 실행 최소 단위 해결 찾아내다 해결 기대 맞추다 끊임없다 배포 회고 계속 발전 방법 탐구 나가다 역할 맡다 프로 덕트 일원 유저 접점 크다 신규 크다 매일 들어오다 만들기 스텝 커뮤니티 스타트업 투자 보육 기관 연결하다 커뮤니케이션 증권 데이터 커뮤니케이션 아우르다 플랫폼 신규 커뮤니티 백오피스,0.5307494118964937
Node.js 개발자,https://www.wanted.co.kr/wd/114258,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F6731%2Fqp2bckgm1zq9mnp6__1080_790.jpg&w=1000&q=75,백엔드 개발자 (3년차 이상),정육각,"• 정육각 서비스를 위한 인프라 구축 및 운영
• 정육각 사업 도메인별 backend 서버 개발
• 효율적인 운영을 위한 Backoffice API 개발
• 데이터팀과 협업하여 데이터 파이프라인 구축
• 사용자 편의를 위한 성능/품질 문제 개선","• 해당 업무 최소 3년 이상의 경력자 (신입 지원 불가)
• 하나 이상의 백엔드 서버 프로그래밍 언어에 익숙하신 분
• Container와 MSA 기반의 시스템 개발 경험이 있으신 분
• AWS 환경에서 개발 경험이 있으신 분
• 유연한 커뮤니케이션 역량을 보유하신 분
• 새로운 기술에 호기심이 많고 빠른 학습속도를 가지고 정육각과 함께 성장해 가실 분","• Golang을 이용한 서버 개발 역량을 보유하신 분
• Terraform, Ansible, Kubernetes, Istio와 같은 DevOps기술에 경험이 있으신 분
• 다양한 Cloud Native 기술 과 오픈소스 플랫폼 경험이 있으신 분
• 대용량 서비스 운영/모니터링 시스템 구축 경험이 있으신 분
• 실제 출시된 서비스의 무정지 DB Migration경험이 있으신 분

정육각 개발팀(Notion) : ","1. 근무조건
• 스마트하고 성격까지 훌륭한 동료들
• 신논현역 5분 거리에 위치한 접근성 좋은 사무실
• 6층 신축 건물 전체 사용, 2층 정육각 라운지 마련 
• 오전 08~10시 자율 출근을 통한 유연한 근무 시간
• 성과 Base의 빠른 보상
• 노트PC / 맥북 / 아이맥 등 업무에 필요한 장비 

2. 사내문화 및 복지
• 정육각 전 상품 직원가 구매 가능
• 수평적 호칭, 자유로운 연차 사용
• 아낌없는 성장 지원(내부 세미나/도서 무제한/외부교육 등)
• 경조사 지원금, 생일축하 상품권 지급

#누적투자500억이상 #인원급성장 #51~300명 #설립4~9년 #수평적조직 
#스타트업 #푸드테크 #판매,유통","Node.js
Golang",강남구 강남대로 112길 32,3473,262,Base PC 스마트 성격 훌륭하다 신논현역 거리 접근성 좋다 신축 건물 전체 정육 라운지 마련 오전 자율 유연하다 성과 빠르다 보상 노트 맥북 아이맥 장비 복지 정육 상품 구매 수평 호칭 자유롭다 연차 아낌없다 성장 내부 세미나 도서 무제한 외부 교육 경조사 원금 생일 축하 상품권 누적 투자 인원 성장 설립 수평 스타트업 푸드 테크 판매 유통,backend API 정육 인프라 구축 정육 도메인 서버 효율 데이터 협업 데이터 파이프라인 구축 사용자 편의 성능 품질 문제 개선,0.38904447182704155
Node.js 개발자,https://www.wanted.co.kr/wd/121224,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F19260%2Fptrrijanmptzhx1u__1080_790.jpg&w=1000&q=75,node.js 개발자,디오티스,• 자사 시스템 ARS와 기간계 I/F 연동 개발,"• 경력 2년 이상
• node.js 개발 경력 2년 이상
• Java 개발 경력 2년 이상
• 서버 프로그램 이해, 개발 경험","• 콜센터 시스템에 관한 이해
• 고객 요구사항 접수 및 분석 가능한 자","• 청년내일채움공제 실시 기업
• 각종 경조사비, 교육비 지원
• 사내 동호회, 카페테리아 등 운영
• 탄력근무제 시행","Amazon Web Service
Web Socket
Java
JavaScript
AWS
TCP
서버
jQuery
인터페이스
UDP
IVR
프론트엔드 개발자
백엔드 개발
CTI
RESTful WebServices
RESTful Architecture
Spring Boot","서울시 송파구 송이로 96, 디오티스빌딩 4층~6층",4373,46,청년 내일 채우다 공제 실시 사비 교육비 동호회 카페테리아 탄력 무제 시행,ARS 자사 시스템 오다 기간 연동,0.48986221574997196
Node.js 개발자,https://www.wanted.co.kr/wd/49727,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F15622%2Fanb7pbbko3lpcqyf__1080_790.jpg&w=1000&q=75,Node.js(노드) 백엔드 엔지니어,비엘큐(테스트밸리),"테스트밸리의 Back-end 사이드를 개발하게 됩니다.
• 테스트밸리 서버 및 API 개발
• 테스트밸리 Infra 유지 보수","• Node.js 개발 경험이 있으신 분
• 클라우드 서비스 사용 경험이 있으신 분
• 더 나은 백엔드 개발 환경을 조성하기 위한 기술 스택(아키텍쳐, 프레임워크, 라이브러리)에 욕심이 있으신 분","• Typescript에 대한 이해가 있으신 분
• 웹 프론트엔드 개발 경험이 있으신 분
• 대규모의 이커머스 개발 경험이 있으신 분
• 많은 사용자를 위한 대용량 서비스 개발 경험이 있으신 분","• 시차출퇴근제 운영
• 무한 연차제도
• 성과에 따른 인센티브 또는 스톡옵션 부여 기회 제공
• 업계 최고 연봉 보장 (기존 연봉테이블 무시)","Git
Android
iOS
MySQL
React
Node.js
Python
TypeScript
AWS
NodeJS
Flutter","서울특별시 강남구 선릉로94길 14 코아렌빌딩 6F, 7F",3671,33,무한 연차 성과 스톡옵션 기회 업계 최고 연봉 기존 연봉 테이블 무시,Back end API Infra 테스트 밸리 사이드 테스트 밸리 서버 테스트 밸리 유지 보수,0.4112243754900862
Node.js 개발자,https://www.wanted.co.kr/wd/74000,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F21725%2Fetpi8n5gllffs2ee__1080_790.jpg&w=1000&q=75,서버 개발자,담화컴퍼니(술담화),"[WAS 및 인프라]
- 다른 직군과 함께 프로덕트 기획 및 구현
- API 서버 개발, 유지보수 및 운영, 추가적인 인프라 구축
- 서버 구조에 대한 고민과 성능/보안을 위한 리팩토링 작업
- 다양한 서비스들이 유기적으로 작동하도록 관리 및 모니터링

[Database]
- DB 를 설계하고 Application 과 연동
- 성능을 측정하고 관리하며 지속적인 튜닝 작업","- 웹 서버 응용프로그램 개발 및 운영 2년 이상 경험 혹은 그와 동등한 역량 보유
- Nodejs, Expressjs를 이용한 API 서버 개발 경험
- Amazon AWS 의 다양한 서비스(EC2, S3, RDS, ELB, CloudFront 등)를 활용 가능
- RDB 개념을 이해하고 필요에 따라 구축 및 사용이 가능","- MSA 구축 경험
- Docker, Kubernetes등을 이용한 container orchestration경험
- CI/CD를 통해 테스트/빌드/배포 경험이 있으신 분
- TDD에 익숙하시고 경험이 있으신분","- [화,목]은 재택으로 근무해요.(코로나이전에 실시했으며, 이후에도 유지됩니다)
- 전통주점 방문 시 5만원 지원
- 자사 전통주 쇼핑몰 매달 5만 포인트 지원
- 매월 해당 달의 담화박스를 지원해요.
- 업무 관련 도서 및 교육비(강의) 지원
- 자유로운 휴가 및 연차 (+워케이션)
- 대리운전은 언제 어디서나 무한지원?
+ 사무실에 술이 아주 많습니다 :)",없음,"서울시 서초구 강남대로 527, 10층(브랜드칸타워)",4135,36,재택 코로나 이전 실시 유지 전통 주점 방문 자사 전통주 쇼핑몰 매달 포인트 매월 해당 담화 박스 도서 교육비 강의 자유롭다 휴가 연차 케이 대리 운전 서나 무한 많다,WAS API Database DB 인프라 프로 덕트 기획 구현 서버 유지 보수 추가 인프라 구축 서버 구조 성능 보안 리팩토링 작업 다양하다 유기 작동 모니터링 설계 연동 성능 측정 지속 튜닝 작업,0.46320152346813037
Node.js 개발자,https://www.wanted.co.kr/wd/108823,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F11402%2Fwlrcphnc9c7zyhh8__1080_790.jpg&w=1000&q=75,서버/백 엔드 개발자,티피씨인터넷,"•  (Type|Java)Script로 라이키 서비스 API 설계 및 개발
•  인하우스 오퍼레이션 툴 및 서비스 관리 페이지 개발
•  보다 나은 성능(응답속도, 동시접속, 비용절감)을  위해 기존 아키텍쳐 및 로직 개선
•  보다 나은 개발 / 빌드 / 배포 환경을 위한 개선
•  서비스 구조 개선 (모듈화 등)","• 전산 관련 전공 혹은 그에 준하는 지식
• 2년 이상의 (Java|Type)Script API 서버(백엔드) 개발 경험 
  (혹은 4년 이상의 이에 준하는 웹서버 개발 경험 ex - Django, Flask, Rails, Spring)
• 디자인/스토리보드 기반 API 설계 경험
• Google Cloud Flatform, Firebase 에서의 프로덕션 개발 경험 
    - AWS / Azure / Aliyun 등의 클라우드 서비스 사용 경험도 좋습니다.
• NoSQL 이해와 경험
• Git, 협업툴(slack, google workspace, trello, notion, figma)를 통한 업무 및 커뮤니케이션 경험","• SNS, 라이브 스트리밍, 영상채팅, 데이팅 서비스 개발 경험 있으신 분
• 디자인/기획 등 타 직군과의 원활한 커뮤니케이션 능력
• 다른 개발자와의 협업을 위한 개발 프로세스 구축 경험
• 내가 사용하는 프로그래밍 언어/기술의 원리를 이해하고 개발하시는 분
    ex) JavaScript에서의 async/await 및 promise에 대한 이해
• 빠르게 변화하는 서비스를 이해하고 이에 맞게 효율적인 구조 및 로직을 설계하는 능력
• 대용량 데이터, 트래픽을 고려한 설계 및 개발 경험
• 오버엔지니어링에 대한 이해
• CI/CD 에 대한 이해와 경험
• 퍼포먼스 분석 및 최적화 경험
• TDD 혹은 테스트 자동화 경험 / 테스트의 중요성에 대한 이해
• AngularJS/Vue.js/React.js 등의 프론트엔드 프레임워크를 사용한 웹사이트 개발 경험
• 트러블 슈팅/문제 해결 경험","• 직원들의 식사를 책임지는 일 2만원의 예산 지원
• 원하는대로 요청하는 간식과 커피 원두
• 주 5일제, 유연 근무 제도
• 무제한 자율 휴가 제도(별도 승인 없이 구성원과 사전 공유)
• 전직원 최고급 장비(Mac, PC, 전동 스탠딩데스크 등) 지원
• 컨퍼런스 참가비, 도서 구입 등 개인 성장 적극 지원
• 직원들의 건강이 우선! 종합건강검진(약 100만원 상당)
• 명절 선물 및 경조사 지원금 지급","Git
Github
Slack
Trello
Android
Firebase
Google Cloud Platform
iOS
VueJS
Kotlin
Node.js
Swift
Google Analytics
AWS
Jenkins
NoSQL
NodeJS
JPA
Google Apps",서울특별시 강남구 선릉로93길 50 현석타워,4365,24,Mac PC 식사 책임지다 예산 요청 간식 커피 원두 일제 유연 무제한 자율 휴가 별도 승인 사전 공유 최고급 장비 전동 스탠 데스크 컨퍼런스 참가 도서 구입 개인 성장 건강 종합 건강검진 상당 명절 선물 경조사 원금,Type Java Script API 라이 설계 인하 우스 오다 레이 페이지 나은 성능 응답속도 동시 접속 비용 절감 기존 아키텍쳐 로직 개선 나은 빌드 배포 개선 구조 개선 모듈,0.48896605802621257
Node.js 개발자,https://www.wanted.co.kr/wd/107629,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F13517%2Fhtgb9nqigvngssjg__1080_790.jpg&w=1000&q=75,백엔드(Back-End) 개발자,메디아이플러스,"- 메디아이플러스 서비스의 백엔드 개발을 담당해요.
- Spring Framework 기반으로 웹 서비스를 개발해요.
- 서비스 개발 뿐만 아니라 안정화 및 최적화도 같이 진행해요.
- 사용자 문제 해결을 위한 신규 feature 개발에 관한 논의에 참여해요.
- OKR 기반의 업무 환경에서 주도적인 개발이 가능해요","- 나이/성별/학력/전공 무관
- 백엔드 개발 실무 경험자
- RESTful API 및 기타 HTTP API 개발 경험이 있으신 분
- 다음 기술에 익숙하신 분
＞ JAVA (JDK 8 이상), Spring Framework
＞ HTML, CSS, Javascript
＞ RDBMS
＞ AWS (EC2, RDS, S3 등)
＞ Git","- B2B 서비스 개발 및 고객 요구사항 기반의 개발 경험이 있는 분
- 요구사항들을 일반화하여 컴포넌트나 라이브러리를 만들어보신 경험이 있는 분
- 테스트 코드를 작성하며 개발하는 것에 부담을 갖지 않는 분
- 오픈소스와 최신 기술에 관심이 많으신 분
- React 또는 Vue 기반의 서비스 개발을 경험하신 분","1. 조직문화
• 수평적 조직문화 : 직급이 아닌 상호 간 '님'으로 호칭합니다.
• 자유로운 연차사용 : 연차 사용 시 사유불문! 자유로운 연차 사용이 가능합니다.

2. 근무환경
• 업무용 기기 제공
• 간식제공
• 사내식당 & 수면실 

3. 교육/생활
• 신입사원교육(OJT)운영을 통해 원활한 적응을 도와드립니다.
• 도서교육비 지원

4. 지원금/보험
• 종합건강검진
• 경조금 지원 : 좋은 날엔 축하금을, 슬픈 날엔 위로금 지원합니다.
• 영양제 저렴하게 구입 가능합니다.

5. 선물
• 명절선물 제공","Pytorch
Tensorflow
Python
NLP",경기도 성남시 수정구 대왕판교로 815 기업지원허브 735호,3221,15,OJT 수평 직급 상호 호칭 자유롭다 연차 연차 사유 불문 자유롭다 연차 기기 간식 식당 수면 교육 생활 신입사원 교육 원활하다 적응 도서 교육비 원금 보험 종합 건강검진 좋다 축하 슬프다 위로 양제 저렴하다 구입 선물 명절 선물,Spring Framework feature OKR 메디아 플러스 백엔드 안정화 최적화 사용자 문제 해결 신규 논의 주도,0.360815503528621
Node.js 개발자,https://www.wanted.co.kr/wd/87057,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F21609%2Fo1upfoki8w5kso6t__1080_790.png&w=1000&q=75,백엔드 개발자,블랙탠저린,"당신은 블랙탠저린의 백엔드 개발자 포지션에 관심이 있나요? 
우리도 ‘성장'에 관심 있는 당신을 기다리고 있어요! 
블랙탠저린의 백엔드 개발자는 서비스를 추상화하며 효율적으로 확장가능한 설계를 책임집니다. 
백엔드 개발자는 다른 개발자는 물론 기획자 및 디자이너와 협력하여 사용자 중심의 서비스를 만듭니다.

• 포지션: 백엔드 개발자
- 모바일, 웹 백엔드 개발
- 실시간 서버 모니터링 및 운영 대응

24시간 서비스를 신경쓴다는 사실을 놓고 볼 때 팀 내에서 CEO보다 더 서비스에 집중하는 사람으로 백엔드 개발자를 꼽을 수 있습니다.차이점이 있다면 CEO는 서비스와 비지니스를 실제 세계에서 설계하지만 백엔드 개발자는 추상화되고 가상화된 환경에서 설계한다는 것이겠죠. 따라서 CEO와 백엔드 개발자는 긴밀한 협력이 필요합니다.

- Typescript / Node.js 기반으로 백엔드 로직을 개발하고 배포합니다.
- 데이터 성격에 맞게 데이터를 적재하고 이용하는 코드를 작성합니다.
- Client를 위한 API를 설계하고 개발합니다.
- 가독성 있는 코드, 유지보수에 좋은 설계를 우선합니다.
- 원활한 협업을 위해 원활한 협업을 위해 GitHub과 슬랙 알림을 사용합니다.
- AWS로 서버를 배포 및 관리합니다.
- Sentry 등을 통해 시스템에서 발생하는 모든 이슈에 대해서 추적하고 해결합니다.","• 지원 자격: 전공 및 경력 제한 없음
- Node.js, AWS 을 이용한 개발 경험
- PostgreSQL, MongoDB 등 데이터베이스 관리 경험

현재 백엔드 기술 스택은 CTO의 비전을 따라가고 있는데요, 자세한 기술 스택은 다음과 같습니다.

- TypeScript
- Node.js
- AWS
- MongoDB & Redis
- GitHub Actions
- 프레임워크는 사용하지 않습니다.

• 근무조건
- 고용 형태: 정규직 (수습기간 3개월 후 전환)
- 연봉: 상호 협의
- 근무 장소: 역삼역 마루 180


• 채용 과정

1. 서류 접수 → 2. 온라인 기술 과제 → 3. 방문 면접 (CTO/CEO)  → 4. 최종 합격

• 유의 사항

- 제출된 서류는 일절 반환하지 않습니다.
- 허위 사실이 판명될 경우 채용이 취소될 수 있습니다.","적극적으로 스스로 문제점을 찾고 수정하며 성장
• JavaScript생태계의 이해
• 함수형에 대한 기본적인 이해 (함수형 프로그래밍과 JavaScript ES6)
• 백엔드 외에 다른 분야(ex. devops, 프론트엔드)에 대한 관심
• 비지니스와 사용자에 대한 깊은 이해
• 개발 전문가가 되어 지식을 공개적으로 아낌 없이 공유
• 앱 개발자, 기획자, 디자이너 등 제품팀과 끈끈한 협업 관계를 맺기 위해 최선을 다해야 함
• 백엔드 외에 다른 분야(ex. devops, 프론트엔드)에도 관심이 있어야 해요.","• 연봉 협의 (직전 연봉 고려)
• 스톡 옵션
• 연차, 생일 휴가
• 4대 보험
• 도서 및 교육비 지원
• 경조사비 지원
• 점심 식대 제공
• 커피 및 간식 제공
• 청년내일채움공제 가입 (희망시)
• 중소기업 취득자 소득세 감면","Github
Python
AWS",서울 강남구 역삼로 180 마루180,0,없음,연봉 직전 연봉 고려 스톡 옵션 연차 생일 휴가 보험 도서 교육비 사비 점심 식대 커피 간식 청년 내일 채우다 공제 가입 희망 중소기업 취득 소득세 감다,CEO CEO CEO Node js Client API GitHub AWS Sentry 블랙 저리다 백엔드 개발자 포지션 관심 성장 관심 기다리다 블랙 저리다 백엔드 개발자 추상화 효율 확장 설계 책임지다 백엔드 개발자 개발자 기획 디자이너 협력 사용자 중심 만듭니 포지션 백엔드 개발자 모바일 백엔드 실시간 서버 모니터링 대응 신경 쓴다 놓다 집중 백엔드 개발자 차이점 늘다 비지니스 실제 세계 설계 백엔드 개발자 추상화 가상화 설계 겠다 오다 백엔드 개발자 긴밀하다 협력 백엔드 로직 배포 데이터 성격 데이터 적재 이용 코드 작성 설계 가독성 코드 유지 보수 좋다 설계 우선하다 원활하다 협업 원활하다 협업 슬랙 알림 서버 배포 시스템 발생 이슈 추적 해결,0.0
