category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee,first_cleaned_welfare,first_cleaned_works
웹 퍼블리셔,https://www.wanted.co.kr/wd/101380,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F26504%2Fibwqxaj0pykomdtq__1080_790.png&w=1000&q=75,프론트엔드 개발자,카티니,"• 반응형 Web(React) / APP(React Native) 개발
• 고객중심 UI/UX개발
• 운영중인 Web 유지보수 및 관리
• 퍼블리싱","• 프론트엔드 개발경력 3년 이상
• 클라우드 서비스 사용 경험 & CICD 구성 및 운영 경험
• RDBMS(Postgre) 및 NoSQL 개발 경험
• Front User Flow 설계 경험
• 전문대졸 이상","• 모빌리티 Biz에 대한 이해
• Git, Docker 사용 경험
• 개발자치고는 외향적인 성격 보유자","• 자율출퇴근제(8시~10시 사이 출근)
• 점심시간 90분
• 최신 소프트웨어 및 업무기기 지원
• 서적구입 및 업무관련 교육지원
• 24시 스낵바와 커피머신(최상의 원두 제공)
• 회사차 보유(휴일 개인사용 가능)
• 명절, 창립기념일, 생일 복지포인트 지급
• 여름휴가비 50만원 별도 지급
• 매년 33만원 상당 건강검진 지원(배우자는 2년에 1회)
• 타이어픽 임직원 할인쿠폰 매년 지급
• 의료비 지원
• 월 통신비 5만원 지원
• 단체 상해보험 운영
• 경조비 지급 
• SK패밀리 카드 발급 및 연회비 지원
• 꽤 괜찮은 동료들 지급",Figma,서울시 마포구 토정로 267,없음,없음,SK 자율 점심시간 최신 소프트웨어 기기 서적 구입 교육 스낵바 커피 머신 최상 원두 보유 휴일 개인 명절 창립 기념일 생일 복지 포인트 여름 휴가 별도 매년 상당 건강검진 배우자 타이어 할인 쿠폰 매년 의료 통신비 상해 보험 조비 패밀리 카드 발급 회비,Web React APP React Native UI UX Web 반응 중심 유지 보수 퍼블리싱
웹 퍼블리셔,https://www.wanted.co.kr/wd/74933,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F20371%2Fqdipsxybtcfj1btu__1080_790.jpg&w=1000&q=75,퍼블리셔,그로우코퍼레이션,"• 자사 웹서비스(PC/Mobile) 프론트엔드 개발
• 사용자 경험 개선 실험 설계 참여 및 구현","• 학력 : 4년제 학사이상
• 전공 : 무관
• 경력 : 2년~10년
• 웹 퍼블리싱, 프론트엔드 개발 경력이 6년 이상이거나 그에 준하는 실력을 갖추신 분
• 반응형 웹 및 모바일 사용자 환경에 대한 이해가 높으신 분
• 웹표준 및 웹접근성을 고려한 개발 경험있으신 분
• 최신 기술에 대한 이해와 빠른 습득 능력을 갖추신 분
• 원활한 커뮤니케이션 능력을 갖추신 분
※ 포트폴리오 제출 필수","• SEO를 고려한 개발 경험이 있으신 분
• 웹 로그 분석(GA 등)을 통한 서비스 개선 경험이 있으신 분
• HTML, CSS, 스크립트(x-javascript, jQuery) 작업 후 브라우저에서 동작될 프로그래밍도 고려할 수 있는 분
• 디자인과 퍼블리싱 실무 경험이 있는 분
• 스타트업 근무 경험이 있으신 분","• 연 200만원 상당의 복리후생비 지급
• 3년 근속 기준 10일 안식휴가(유급) 지급
• 임직원을 위한 다양한 기업문화 이벤트 등
• 가정친화적 복리후생제도 운영 
  - 생일반차, 결혼기념일 반차
  - 자녀학자금지원
  - 기념일 축하 선물 (생일, 결혼기념일, 자녀입학, 명절 등)
• 건강검진 지원
• 사내 구내식당
• 사내 네일샵 운영
• 휴양소 지원
• 단체복 제공 (grow 한정판 후드점퍼 & 면티)
• 야근비 지원 (식사지원 및 교통비 지원)
• 역량 개발 지원","Git
Github
iOS
MySQL
CSS
HTML
JavaScript
Swift
MVVM
AWS
jQuery
Spring Framework
안드로이드 개발
iOS 개발
POP 디스플레이",서울시 서초구 남부순환로 2547 이투스에듀 빌딩,4135,25,grow 상당 복리 후생 근속 기준 안식 휴가 유급 다양하다 이벤트 가정 복리 후생 생일 결혼기념일 자녀 학자금 기념일 축하 선물 생일 결혼기념일 자녀 입학 명절 건강검진 구내식당 네일 휴양 한정판 후드 점퍼 면티 야근 식사 교통비 역량,PC Mobile 자사 웹서비스 프론트엔드 사용자 경험 개선 실험 설계 구현
웹 퍼블리셔,https://www.wanted.co.kr/wd/113027,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F14226%2Ftfwomuw5upo5dac7__1080_790.jpg&w=1000&q=75,앱/웹 서비스 기획자,케이웨더,"- 자사 앱/웹 서비스 구축운영 기획(회사홈페이지, 날씨정보 웹페이지, Air365 앱/웹 서비스, 날씨앱 등) 
- 서비스 정책 및 프로세스 수립, 스토리보드,  UI/UX 기획
- 수주 프로젝트 웹/앱 서비스 기획
- 요구사항 정리, 진척사항/일정 관리 등 
- 서비스 시나리오 설계, 기능정의
- 사용자 경험 개선 및 기획 통합 Plan 수립","- 관련 경력 3년 이상
- 웹/모바일 서비스 정책/프로세스 기획 및 정책 수립 경력자
- 프론트 UI/UX 기획 경력자 
- 포트롤리오 제출(필수)","- 기상,환경 데이터 서비스 관련 경험 
- Flow 작성과 문서작성 능력, 협업도구 사용 경험자 
- 제조회사 웹/앱 서비스 기획업무 경험자","• 자유료운 반차, 연차 사용 
• 각종 경조사 지원
• 휴게실 및 탕비실(최고급 커피머신 구비 및 커피, 차 제공)
• 야근, 주말 근무 시 식대 지원
• 명절 선물 지급
• 자율 복장 근무
• 생일 축하금 지원
• 남성 출산휴가
• 자사 제품 구매시 할인 적용","Hadoop
Linux
Java
PHP
Python
HBase",서울특별시 구로구 디지털로 26길 5 (우)08389 에이스하이엔드타워 1차 401호,3727,75,자유 료운 연차 경조사 휴게실 비실 최고급 커피 머신 구비 커피 야근 주말 식대 명절 선물 자율 복장 생일 축하 남성 출산휴가 자사 구매 할인 적용,Air UI UX Plan 자사 구축 기획 홈페이지 날씨 정보 웹페이지 날씨 정책 프로세스 스토리보드 기획 수주 프로젝트 기획 요구사항 정리 진척 일정 시나리오 설계 정의 사용자 경험 개선 기획 통합
웹 퍼블리셔,https://www.wanted.co.kr/wd/102114,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F4932%2Ffu2gok2ljvxbhcex__1080_790.jpg&w=1000&q=75,웹 퍼블리셔,디밀(디퍼런트밀리언즈),"• 콘텐츠 커머스 플랫폼 웹/앱 서비스 콘텐츠 퍼블리싱 
• 웹 페이지 및 콘텐츠 유지보수","• HTML5, CSS3, JQuery 등 퍼블리싱 경험 3년 이상 보유하신 분 
• 웹 접근성, 웹 표준, 웹 최적화, 크로스 브라우징 마크업 이해가 높으신 분 
• Web, Mobile, 반응형/적응형에 대한 이해가 높으신 분 
• 협업 부서 간 원활한 커뮤니케이션 역량을 보유하신 분","• 제품 상세페이지 및 광고, 프로모션 등 콘텐츠 디자인이 가능하신 분 
• Javascript 프레임워크 (react.js, next.js 등) 프로젝트 경험을 보유하신 분 
• 다양한 브라우저 또는 기기에서 발생한 문제 해결 능력을 보유하신 분 
• SEO 고려한 퍼블리싱이 가능하신 분","[ 디밀 혜택 및 복지 ]
• DMIL 다운 복지
   주 35시간 근무제 (10:00 ~ 18:00)
   유튜브 프리미엄 구독 지원 
   고급 캡슐 커피 머신 (네스프레소 모멘토 200)   
   임직원 폐쇄몰 이용 혜택
   전문 건강검진센터에서의 진짜 건강검진, 
   지하 1F~지상 6F까지 모든 공간을 오로지 디밀만 사용하는 가로수길 인근 사옥!

• 기본적이고 당연한 부분
   4대 보험, 야근식대, 야근교통비, 새 노트북과 책상 세트 등 업무용 장비 제공
   교육지원, 도서 구매 지원 제도 등

   
  
[ 지원하기 전 확인해 주세요 ]
• 무엇보다 서로 솔직했으면 좋겠습니다. 저희도 진심으로 임하겠습니다.
• 제출서류 : 이력서, 경력기술서, 포트폴리오(선택) 
• 수습기간 : 3개월 (급여, 복리후생 동일)
• 채용절차 : 서류검토 -＞사전설문 -＞ 실무진 인터뷰 -＞ 임원 면접 -＞ 처우 협의
• 포지션과 경력에 따라 전화인터뷰와 과제 제출이 추가될 수 있습니다.
• 개발직군의 경우 코딩테스트가 추가 됩니다.  
• 급여는 경력과 역량에 따라 개별 협의합니다. 
 


[ 참고사항 ]

• 디밀은 내 옆의 팀원을 도움으로써, 내가 성공하는 `이타적 이기주의자`를 가장 선호합니다. 우리는 동료의 목표 달성과 고객의 만족을 위해 일합니다. 언제나 최우선 순위는 팀을 위한 일입니다.
목적을 알고 일한는 사람이 신뢰와 존경을 받습니다. 
우리의 핵심가치, [이타적 이기주의]의 달성과 유지를 위해 최선을 다합니다

• 디밀은  더 대담하게 시장을 장악해 나가는 단계에 있습니다. 
팀원들 역시 위험을 감수하고, 더욱 큰 생각으로 부딛히며 성장합니다.
완벽한 전략보다 빠른 실행을 중요시합니다. 우리에게 가장 두려운 것은 실패가 아니라 도전하지 않는 것 입니다. 
개인의 성장을 위해, 디밀과 각각의 멤버들은 서로에게 최선의 노력을 아끼지 않습니다. 

• 디밀은 브랜드와 크리에이터 그리고 팬슈머를 이어 가치를 만들어 냅니다.
커뮤니티를 창조하고 융합해내는 `연결`은 디밀의 핵심입니다.
우리는 단순히 이익을 내는 것에만 중시하지 않습니다.
세상에 기여하는 `커뮤니티 빌더`의 소명을 기억합니다.


• 반대로 이런 부분은 힘들 수 있어요

   1. 낯을 가리시는 등 소통을 즐기시지 않으면 적응이 어려울 수 있어요. 우리는 커뮤니케이션이 중요한 회사입니다. 인원이 폭발적으로 늘어나고, 대다수의 업무가 파트너와의 협업으로 이루어집니다. 피드백을 어려워하거나 받아들이시지 못하는 분에게는 벅찰 수 있어요.

   2. 대기업처럼 시스템이 굳어진 곳을 선호하시는 분은 답답할 수 있어요. 디밀은 만들어진 지 2년이 되지 않은 회사입니다. 수많은 변화가 있고, 다른 동료의 일을 백업해야 하는 경우가 생깁니다. 완벽한 시스템 속에서 주어지는 일만 잘하면 되는 조직과는 거리가 있어요. 


감사합니다.","React
CSS
HTML
TypeScript
jQuery
NodeJS
NextGen",강남구 논현로 161길 47 디밀테라스빌딩 전층,없음,없음,DMIL 디밀다 혜택 복지 다운 복지 무제 유튜브 프리미엄 구독 고급 캡슐 커피 머신 네스프레소 멘토 폐쇄몰 이용 혜택 전문 건강검진 센터 진짜 건강검진 지하 지상 공간 디밀다 가로수길 인근 당연하다 부분 보험 야근 식대 야근 교통비 노트북 책상 세트 장비 교육 도서 구매 확인 줄다 서로 솔직하다 좋다 진심 이력서 경력 포트폴리오 수습 기간 복리 후생 동일 검토 사전 설문 실무 임원 처우 포지션 경력 전화 과제 추가 테스트 추가 경력 역량 개별 디밀다 도움 성공하다 이타 이기주의 선호 목표 달성 만족 언제나 순위 목적 늘다 신뢰 존경 받다 핵심 가치 이타 이기주의 달성 유지 최선 다합 디밀다 대담하다 시장 장악 나가다 단계 팀원 위험 감수 더욱 크다 부딛히다 성장하다 완벽하다 전략 빠르다 실행 중요시 두렵다 실패 도전 개인 성장 디밀다 멤버 서로 최선 노력 아끼다 디밀다 브랜드 크리에이터 팬슈머 가치 커뮤니티 창조 융합 해내다 연결 디밀다 핵심 단순하다 이익 중시 세상 기여 커뮤니티 빌다 소명 기억 반대 부분 힘들다 가리다 소통 즐기다 적응 어리다 커뮤니케이션 중요하다 인원 폭발 늘어나다 대다수 파트너 협업 이루어지다 피드백 어렵다 받아들이다 벅차다 대기업 시스템 굳어지다 선호 답답하다 디밀다 만들어지다 지다 수많다 변화 백업 생기다 완벽하다 시스템 주어지다 일만 거리 감사하다,콘텐츠 커머스 플랫폼 콘텐츠 퍼블리싱 페이지 콘텐츠 유지 보수
웹 퍼블리셔,https://www.wanted.co.kr/wd/94282,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F25170%2Frirnjanpvegybb4j__1080_790.jpg&w=1000&q=75,프론트엔드 개발자(7년차 이상),서울옥션,"- 서울옥션 홈페이지 및 백오피스 프론트 개발/운영
- 마크업 & 퍼블리싱(HTML)","- Frontend 및 퍼블리싱 7년 이상
- Vue, React 중 하나 이상의 Javascript Framework 개발 경험
- RESTful API 클라이언트 개발 경험
- 웹 표준 및 반응형 웹에 대한 경험
- HTML, CSS, Javascript(ES6) 관련 개발에 익숙하신 분","- Javascript Framework (React, Vue) 에 대한 경험이 풍부하신 분
- Nuxt JS, Next JS 에 대한 깊이 있는 사용 경험 우대
- 오랫동안 함께 하실 수 있는 분 우대 (장기근속 우대)","• 급여제도 : 4대보험, 퇴직금, 휴일수당, 연차수당
• 출산/육아 : 산전 후 휴가, 육아휴직, 남성출산휴가
• 출근 셔틀버스 운행 : 경복궁역, 광화문역
• 선물 : 명절선물, 생일선물, 출산선물, 웰컴선물 지급
• 지원금/보험기타 : 건강검진, 각종 경조사 지원, 통신비 지원, 차량유지비 지원","Git
React
HTML
JavaScript
Docker",서울특별시 종로구 평창 30길 24,4622,126,보험 퇴직금 휴일 수당 연차 수당 출산 육아 산전 휴가 육아휴직 남성 출산휴가 셔틀버스 운행 경복궁역 광화문역 선물 명절 선물 생일 선물 출산 선물 웰컴 선물 원금 보험 건강검진 경조사 통신비 차량 유지비,HTML 서울 옥션 홈페이지 백오피스 프론트 마크 퍼블리싱
웹 퍼블리셔,https://www.wanted.co.kr/wd/121363,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F25170%2Frirnjanpvegybb4j__1080_790.jpg&w=1000&q=75,서울옥션 퍼블리싱(마크업) 7년차 이상,서울옥션,"• 서울옥션 웹페이지 및 백오피스 마크업 & 퍼블리싱
• 웹 퍼블리싱 및 UI/UX 개발
• 사용자 경험 개선을 위한 UI/UX 제안","• 7년 이상의 웹 퍼블리싱 & 프론트엔드 업무 경험 또는 그에 준하는 실력을 보유하신 분
• Git 등의 분산 버전 관리 시스템 이용 경헙이 있으신 분
• Zeplin, Sketch, Figma 툴로 협업이 가능하신 분
• HTML, CSS, JavaScript, ES6+ 활용 퍼블리싱 가능하신 분
• 웹접근성, 웹표준, 웹최적화, 크로스브라우징 모바일 사용자 환경에 대한 이해력을 보유하신 분
• 반응형 웹에 대한 마크업 경험이 있으신 분
• 타 직군과 원활한 커뮤니케이션 가능하신 분
• 웹 포트폴리오 제출 (프로젝트별 역할 및 참여율 필수 기재)","• UI/UX에 대한 이해가 깊은 분
• 새로운 기술에 대한 호기심이 많은 분
• 전반적인 웹 개발, Ajax / Http 관련 지식을 보유하신 분
• 크로스 브라우징 환경 경험
• GIT 사용에 익숙하신 분
• 홈페이지 (반응형 웹 등) 구축 및 유지보수 경험이 풍부하신 분
• 앱 개발 유경험자 (하이브리드 앱)","• 급여제도 : 4대보험, 퇴직금, 휴일수당, 연차수당
• 출산/육아 : 산전 후 휴가, 육아휴직, 남성출산휴가
• 출근 셔틀버스 운행 : 경복궁역, 광화문역
• 선물 : 명절선물, 생일선물, 출산선물, 웰컴선물 지급
• 지원금/보험기타 : 건강검진, 각종 경조사 지원, 통신비 지원, 차량유지비 지원","Git
React
HTML
JavaScript
Docker",서울특별시 종로구 평창 30길 24,4622,126,보험 퇴직금 휴일 수당 연차 수당 출산 육아 산전 휴가 육아휴직 남성 출산휴가 셔틀버스 운행 경복궁역 광화문역 선물 명절 선물 생일 선물 출산 선물 웰컴 선물 원금 보험 건강검진 경조사 통신비 차량 유지비,UI UX UI UX 서울 옥션 웹페이지 백오피스 마크 퍼블리싱 퍼블리싱 사용자 경험 개선 제안
웹 퍼블리셔,https://www.wanted.co.kr/wd/91525,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F26652%2Frmro7e6vztr6j4ml__1080_790.jpg&w=1000&q=75,웹 퍼블리셔,제스아이앤씨,"• 홈페이지/모바일 퍼블리싱 업무
• 웹표준, 웹접근성, 웹호환성
• 반응형 웹, 크로스브라우징(Cross Browsing)
• HTML 5, CSS 3, Java Script, jQuery성)","• 경력 : 3~5년
• 학력 : 무관
• 연령 : 무관","• 공공기관 퍼블리싱 업무 경험자
• 프론트엔드 개발 가능자 우대","• 시차출퇴근제 : 8시/9시/10시 중 택 1 (8시간 근무)
• 자유로운 휴가사용
• 건강검진비 지원(최대 50만원)
• 사내 카페테리아 운영
• 간식 및 음료 무제한 제공
• 생일자 상품권 지급 및 조기퇴근
• 경조사 지원(경조사비, 경조휴가)
• 명절선물 지급
• 쾌적한 근무환경(2021년 신규 입주)
• 직무교육 지원","Java
JavaScript
HTML5
CSS3
JSP
HTML 5
JSP 개발","서울특별시 구로구 디지털로242, 한화비즈메트로1차 501호",4680,39,자유롭다 휴가 건강검진 최대 카페테리아 간식 음료 무제한 생일 상품권 조기 경조사 사비 조휴 명절 선물 쾌적하다 신규 직무 교육,Cross Browsing HTML CSS Java Script jQuery 홈페이지 모바일 퍼블리싱 웹표준 웹접근성 호환성 반응 크로스 브라우징
웹 퍼블리셔,https://www.wanted.co.kr/wd/107052,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F10188%2Fdr6iknm33l9m0du8__1080_790.jpg&w=1000&q=75,프론트엔드 시니어 개발자 (병특 가능),콘샐러드,"• jQuery 기반의 웹 퍼블리싱
• 웹 CMS 기능 추가 / 유지 보수","• 프론트엔드 개발 지식이 있으신 분
• 웹 표준을 잘 준수하실 수 있는 분","• PHP/Laravel 지식이 있는 분
• 음악/엔터/스타트업 업무 경험이 있으신 분","• 10시 ~ 18시 근무
• 점심 식사 제공
• 안마의자, 스낵바 제공
• 노래방 제공","Git
PHP
jQuery
Laravel
MSSQL",서울특별시 송파구 송파대로,3950,16,점심 식사 안마 의자 스낵바 노래방,jQuery CMS 퍼블리싱 추가 유지 보수
웹 퍼블리셔,https://www.wanted.co.kr/wd/102774,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F25705%2Ftov7z4jfb61eotak__1080_790.jpg&w=1000&q=75,솔루션 PM,이씨에스텔레콤,"• 솔루션 구축 프로젝트 PM/PL
 (고객사 대응, 프로젝트 진행/인력/일정 관리)
• 웹 서비스 UX/UI 기획","• 프로젝트 리딩 경력이 있으신 분
• 개발프로젝트 경험 필수
• 화면설계서(스토리보드) 작성이 가능한 분
• 주요 보고서 및 문서 작성이 가능한 분","• 제안업무 유 경험자
• IT 트렌드에 대한 높은 관심과 이해가 우수한 분","• 건강검진 지원
• 단체보험 지원
• 콘도 지원
• 동호회 운영
• 경조사비
• 우수사원 포상제도
• 대출제도
• 주차지원
• 헬스장 이용지원
• 상조서비스 지원
• 사내도서관 운영
• 사우회 운영
• 임신출산육아기 지원
• 청년내일채움공제 운영
• 청년재직자내일채움공제 운영
• 심리상담프로그램 운영
• 사내 스낵바 운영
• 상여 지급
• 명절 선물 지급
• 웰컴키트 지급",없음,"서울시 서초구 반포대로28길 8 (서초동,일홍빌딩)",7947,178,건강검진 보험 콘도 동호회 사비 우수 사원 포상 대출 주차 헬스장 이용 상조 도서관 우회 임신 출산 아기 청년 내일 채우다 공제 청년 재직 내일 채우다 공제 심리상담 스낵바 상여 명절 선물 웰컴 키트,PM PL UX UI 솔루션 구축 프로젝트 대응 프로젝트 인력 일정 기획
웹 퍼블리셔,https://www.wanted.co.kr/wd/122502,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F33883%2Fyxp98zhjqwcihccs__1080_790.jpg&w=1000&q=75,웹 퍼블리셔,디알코퍼레이션,"개발팀장님과 함께 디지털 원단 소싱 플랫폼 '키위'의 얼굴을 만드는 일을 맡게 될 거예요.

[채용절차]
디알코퍼레이션은 360도 인터뷰를 진행합니다.
• 서로 알아가는 것은 쉬운 일이 아니기에 형식에 얽매이지 않은, 실질적인 것에 집중합니다.
• 대면 또는 비대면, 사무실 또는 카페. 상황에 맞게 인터뷰를 진행합니다.
• 한번 만났던 면접관도 필요하다면 다시 만나 인터뷰를 진행할 수 있습니다.","• 퍼블리싱 및 디자인 관련 업무 경력 5년 이상
• vscode 또는 html, js, css 코딩이 가능한 modern 에디터 사용 경험 보유자
• 블랙&화이트 중심의 심플한 디자인을 섬세하게 풀어낼 수 있는 분
• 포토샵, 일러스트레이터 또는 아이콘 이미지 편집이 가능한 툴 사용 가능자","• UI, UX에 심도있는 관심 있는 분
• bezier curve나 motion에 대한 이해가 있는 분
• git, hg, svn, cvs 또는 abstract 외 기타 VCS 사용 경험 있는 분
• ES6 및 javascript에 대한 이해도가 있는 분
• mobile first 경험, 앱 디자인, 개발 경험 있는 분","• 점심 및 저녁 식대, 간식 제공
• 자유롭고 유연한 휴가 사용 및 근무 형태
• 도서 구입 및 세미나를 비롯한 교육 과정 지원","CSS
HTML
UX
UI 디자인
ES6",서울특별시 종로구 종로39길 17 (자말빌딩) 4층,없음,없음,점심 저녁 식대 간식 자유 유연하다 휴가 형태 도서 구입 세미나 비롯 교육 과정,장님 디지털 원단 소싱 플랫폼 키위 얼굴 맡다 디알 코퍼레이션 서로 알다 쉽다 형식 얽매 실질 집중 대면 비대 카페 상황 만나다 관도 만나다
